dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
FiftyWords,3,8617.3159,success,0.6133333333333334,705.2047,0.6155555555555555,706.2448,0.6222222222222222,703.7905,0.6133333333333334,700.7061,0.6155555555555555,703.2143,0.6222222222222222,722.7933,0.6133333333333334,679.4885,0.6155555555555556,671.8921,0.6266666666666666,667.8362,0.6133333333333334,659.927,0.6155555555555556,664.548,0.6266666666666666,668.7892
FiftyWords,4,8649.5493,success,0.6044444444444445,698.9692,0.6088888888888889,710.6958,0.6044444444444445,710.1977,0.6044444444444445,707.1189,0.6088888888888889,709.6154,0.6044444444444445,711.2851,0.6000000000000001,663.1142,0.6022222222222222,668.622,0.5977777777777779,674.9342,0.6000000000000001,669.4657,0.6022222222222222,673.5394,0.5977777777777779,675.7785
Fish,0,2752.224,success,0.8288525228910967,252.7427,0.8231053964543152,256.2326,0.8173582700175336,256.9911,0.8288525228910967,252.7695,0.8231053964543152,253.6998,0.8173582700175336,253.1271,0.8402493668420027,187.3468,0.8516462107929086,191.8704,0.8459964932787843,191.7789,0.8402493668420027,187.1908,0.8516462107929086,192.0181,0.8459964932787843,192.0975
Fish,1,2957.4094,success,0.862556010130528,275.9886,0.8625560101305281,273.9233,0.8625560101305281,288.5467,0.862556010130528,276.6808,0.8625560101305281,268.2054,0.8625560101305281,258.2275,0.8569062926164038,201.2297,0.8568088836937463,200.611,0.8568088836937463,201.3722,0.8569062926164038,192.6997,0.8568088836937463,211.2667,0.8568088836937463,203.7002
Fish,2,3066.5782,success,0.845899084356127,258.2911,0.8459964932787843,292.2815,0.8515488018702513,293.5903,0.845899084356127,287.4834,0.8459964932787843,289.2674,0.8515488018702513,277.1905,0.8573933372296901,196.749,0.8631404636664719,216.5212,0.8573933372296901,217.5053,0.8573933372296901,211.9956,0.8631404636664719,216.2214,0.8573933372296901,217.3793
Fish,3,2802.3982,success,0.8454120397428405,274.9425,0.8396649133060589,274.4715,0.8282680693551528,240.8826,0.8454120397428405,237.2535,0.8396649133060589,239.251,0.8282680693551528,241.2249,0.8627508279758427,193.7704,0.8569062926164038,206.0166,0.862556010130528,195.2131,0.8627508279758427,197.3633,0.8569062926164038,206.6946,0.862556010130528,206.8679
Fish,4,2990.6106,success,0.8685953633352815,256.5832,0.8799922072861874,292.1708,0.8742450808494059,292.6315,0.8685953633352815,284.2224,0.8799922072861874,284.2209,0.8742450808494059,276.6125,0.8742450808494059,196.8042,0.8799922072861874,200.4067,0.8798947983635301,201.0367,0.8742450808494059,195.7021,0.8799922072861874,200.8945,0.8798947983635301,202.7394
FreezerRegularTrain,0,1297.0411,success,1.0,135.8462,1.0,135.1199,1.0,127.3824,1.0,124.5922,1.0,126.3951,1.0,127.0552,1.0,81.0695,1.0,79.8463,1.0,80.3523,1.0,79.6037,1.0,79.7248,1.0,79.9083
FreezerRegularTrain,1,1363.9537,success,1.0,131.4558,1.0,133.4922,1.0,135.1724,1.0,131.5532,1.0,132.9752,1.0,135.0794,1.0,86.4049,1.0,86.6937,1.0,86.9135,1.0,86.241,1.0,86.5001,1.0,87.4002
FreezerRegularTrain,2,1357.265,success,1.0,133.2069,1.0,135.5891,1.0,136.465,1.0,133.0684,1.0,134.983,1.0,136.2138,0.9933333333333333,87.3554,1.0,87.802,1.0,85.3883,0.9933333333333333,81.2332,1.0,82.6407,1.0,82.1009
FreezerRegularTrain,3,1166.3215,success,1.0,112.3125,1.0,113.9301,1.0,114.6745,1.0,111.8746,1.0,113.2898,1.0,114.6768,1.0,73.9966,1.0,74.9843,1.0,74.789,1.0,74.6961,1.0,74.7378,1.0,74.9435
FreezerRegularTrain,4,1300.2643,success,1.0,125.3399,1.0,126.7243,1.0,128.2004,1.0,126.0787,1.0,127.4083,1.0,127.9018,1.0,83.0439,1.0,82.8188,1.0,83.5619,1.0,82.2586,1.0,82.9187,1.0,82.1114
