dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
wilt,1,3.6049,success,0.9811706438484209,0.584,0.9490234719856924,0.4699,0.9811706438484209,0.5823,0.9490234719856924,0.4514,0.9866815514331334,0.621,0.9802522119889453,0.5865
wilt,2,3.5821,success,0.9818604565800856,0.5814,0.94649821946044,0.4337,0.9818604565800856,0.5799,0.94649821946044,0.4352,0.9866817096470627,0.656,0.9811708020623503,0.5946
wilt,3,3.7084,success,0.9804819386142611,0.6068,0.9476460615173729,0.4691,0.9804819386142611,0.6056,0.9476460615173729,0.467,0.98484516235597,0.6468,0.9816300970990527,0.5984
wilt,4,3.4815,success,0.9825485289585284,0.5668,0.9462686510490532,0.4295,0.9825485289585284,0.5693,0.9462686510490532,0.431,0.9864527740913932,0.6106,0.9804824132560489,0.5756
car,0,3.152,success,0.9504864071338059,0.4745,0.9273265833959475,0.4171,0.9672050250084933,0.4866,0.9498416666046724,0.4556,0.960131477472518,0.5572,0.9331218088443523,0.5358
car,1,3.3058,success,0.9524131894074092,0.4874,0.9318335676717181,0.4349,0.9678497655376268,0.5027,0.9517647292213766,0.4766,0.9652708034210925,0.6029,0.9382673342210914,0.5622
car,2,3.2703,success,0.9556306926249123,0.4849,0.9363430317187542,0.4298,0.96527824273489,0.5012,0.9517684488782754,0.4726,0.9652745230779912,0.586,0.9318385272142496,0.5589
car,3,3.2831,success,0.9504826874769071,0.4805,0.9286197841111136,0.4284,0.9659217433783907,0.4958,0.9536939912662455,0.4746,0.9665652440218914,0.5754,0.9414811177816959,0.5556
car,4,3.2053,success,0.9562667539546151,0.4774,0.9376188740350591,0.4241,0.9704163287978317,0.4916,0.9588481958424154,0.4612,0.9652720433067253,0.5814,0.9382598949072939,0.5379
segment,0,3.7896,success,0.9403559403559404,0.5519,0.9167869167869167,0.4584,0.936988936988937,0.6159,0.9278499278499278,0.5151,0.936026936026936,0.7549,0.9307359307359307,0.6366
segment,1,3.8712,success,0.9374699374699375,0.5443,0.9114959114959115,0.4553,0.9456469456469456,0.6162,0.9264069264069263,0.5273,0.9432419432419433,0.7767,0.9384319384319384,0.6561
segment,2,4.0097,success,0.936026936026936,0.5682,0.9095719095719096,0.4782,0.9389129389129388,0.6378,0.9191919191919192,0.5496,0.935064935064935,0.7905,0.9244829244829246,0.6776
