dataset,benchmark,task_type,et_mean,et_std,et_time,oblique_mean,oblique_std,oblique_time,rf_mean,rf_std,rf_time,rotf_mean,rotf_std,rotf_time
GunPointAgeSpan,aeon_tsc,classification,0.9614814814814814,0.006197481678030172,2.21388,0.9555555555555555,0.019598157859737664,1.67516,0.9362962962962962,0.017053132493661215,4.785819999999999,0.9644444444444444,0.013250773199998732,81.05404
GunPointMaleVersusFemale,aeon_tsc,classification,0.994074074074074,0.006197481678030176,2.06644,0.9866666666666667,0.008114408259335723,1.62822,0.9748148148148148,0.017053132493661246,4.12932,0.9970370370370369,0.0066253865999993805,79.15126000000001
GunPointOldVersusYoung,aeon_tsc,classification,1.0,0.0,1.8808599999999998,1.0,0.0,1.0688,1.0,0.0,3.2142000000000004,1.0,0.0,75.91051999999999
Ham,aeon_tsc,classification,0.8698698698698699,0.03769901869817842,2.975,0.8165665665665666,0.02322141638927455,6.70428,0.8276776776776777,0.055331230137346456,6.85112,0.871971971971972,0.028687564898108496,221.54334
HandMovementDirection,aeon_tsc,classification,0.3699976706266014,0.026298899044691466,26.352300000000003,0.35737246680642903,0.045390860626612406,2966.42776,0.3613324015839739,0.05089871433144446,101.89826000000001,0.4064057768460284,0.041323701225285135,2394.6321199999998
HandOutlines,aeon_tsc,classification,0.888801376226526,0.009824313257175995,137.67622,0.8947959935983889,0.0060511396375694665,3528.9928,0.8845989702277126,0.008898871319703789,925.7191999999999,0.9157978337619056,0.007466145090185666,5536.40434
Handwriting,aeon_tsc,classification,0.2173333333333333,0.019776529298921774,6.85346,0.18266666666666664,0.025647178748895105,43.258799999999994,0.19599999999999995,0.016055459438389735,26.23406,0.24266666666666664,0.03788872596902089,424.16468000000003
Haptics,aeon_tsc,classification,0.53298139768728,0.02236538895216108,8.981819999999999,0.5149069884364003,0.04065356881223352,235.00634,0.5201608848667673,0.02912332838514113,27.568080000000002,0.5214680744092508,0.027187322110067278,712.61234
Herring,aeon_tsc,classification,0.5904761904761905,0.056823850469646435,2.7592,0.5532467532467532,0.05172561403599401,7.188460000000001,0.6005772005772005,0.05048597867072142,5.10774,0.5685425685425686,0.06733770524270605,246.04317999999998
HotwaterPredictor,aeon_tser,regression,1251.9843908317162,23.53623436509376,14.2566,1266.3735358518466,27.111184392256813,283.41125999999997,1269.5989722347167,18.063923839312736,36.3211,1326.515316712385,15.249756801301448,1044.70164
