dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
DailyOilGasPrices,rotf,121958,53.51,success,1.7737758130133932,2.5388,1.780301304396945,3.0252,1.7635494046410198,2.9491,1.7810535577895237,6.7505,1.715056800230677,6.9729,1.7694978599171385,6.9254,1.8584436166288973,2.2273,1.8519153198778593,2.2129,1.8679759171245847,1.9192,1.790750630835418,5.0885,1.8072657225011142,5.2818,1.796656656954476,5.2079
DailyOilGasPrices,rotf,671155,47.7411,success,1.6212383771748657,2.6751,1.659680831167513,2.356,1.7553697504396435,2.6147,1.650554241807054,6.0883,1.6472725149390852,6.7051,1.6950392674263524,6.306,1.9166682671352995,1.9337,1.794107229858256,1.9432,1.8189290633254072,1.63,1.823930525220242,4.8673,1.7023533498313574,4.4869,1.749233979821458,5.0928
DailyOilGasPrices,rotf,131932,49.9835,success,1.9075834268360499,2.6539,1.793803848451349,2.7121,1.871103465600175,2.8323,1.866768341047196,6.6792,1.8623142093878382,6.4544,1.8571854133288588,6.886,1.8745042069957183,1.9555,1.9543353070794396,2.0664,1.9112187468741906,2.0038,1.8486374895462365,4.8854,1.9446770780685763,4.8966,1.8619718119575055,4.9365
DailyOilGasPrices,rotf,365838,53.3189,success,1.845089917177961,2.7255,1.8847219263920358,2.8261,1.7965357380925626,3.0577,1.8470987294104109,6.6991,1.8651953284569267,7.2847,1.8012072454124801,6.7188,1.9737028044484208,2.3773,1.9214945913676924,2.3538,2.0592826124221206,1.7105,1.918044407349581,5.4118,1.8705700654923125,5.3993,1.9314794315132342,5.5776
DailyOilGasPrices,rotf,259178,45.7381,success,1.7489982029035513,2.3717,1.8403081234115974,2.3326,1.8318367333904095,2.4649,1.7372428340394228,5.7826,1.7864325488468025,6.0053,1.7623729323694735,5.8756,1.88085810767973,1.8538,1.9271277160446125,1.739,1.8023456079169395,1.6721,1.7655720453175718,4.4251,1.840216209057825,4.4365,1.7658997237088092,4.6258
DhakaHourlyAirQuality,rotf,121958,85.85,success,3.330790618727818,3.7534,3.2548652414404766,3.8545,3.359194836676222,3.7658,3.032448659996554,9.5048,3.011979468281505,9.6755,3.0240742210646396,9.7746,3.1577496169697543,3.884,3.1106743169391335,3.8746,3.1264300827413805,3.9297,2.82097861492834,9.5942,2.829924177731332,9.6308,2.8452076946100733,9.7784
DhakaHourlyAirQuality,rotf,671155,87.0424,success,3.41703500222339,3.7754,3.3562822624298594,3.9044,3.4118681269584603,3.8544,3.1257757639432047,9.5219,3.092435172423001,9.8566,3.11085563124907,9.8664,3.2174986118649187,3.9664,3.2094186972343834,4.0564,3.2404725151718186,4.0109,2.9451460717649325,9.8053,2.881196859848305,9.8383,3.013820013625398,9.8236
DhakaHourlyAirQuality,rotf,131932,86.6404,success,3.3646896747704567,3.9635,3.3472050523993686,4.0371,3.282456839404509,4.1405,3.040429691072546,9.9178,3.0378723684970406,9.7196,3.0437752434031715,9.7723,3.223789837859456,3.7888,3.065065747841009,3.7557,3.2182444508886316,3.8409,2.8728156496676642,9.4563,2.813198601012877,9.7057,2.899987719329855,9.7412
DhakaHourlyAirQuality,rotf,365838,87.0338,success,3.330898797316855,3.8395,3.329463411199667,3.986,3.3163200569552234,3.9792,3.056044988916625,9.5849,3.016201490337009,9.6407,3.0565577812976823,9.8816,3.0474855330486377,4.0383,3.0779389752913926,4.0484,3.02911951491779,4.1017,2.801221425227108,9.4834,2.8064557451030443,9.6447,2.7660751717774796,9.9026
DhakaHourlyAirQuality,rotf,259178,85.9611,success,3.4478365680900063,3.8737,3.4668999441033552,3.8743,3.4220228806154487,3.8797,3.2490341298263643,9.5315,3.275061230774567,9.5321,3.2229595016497767,9.7592,3.1287988705942964,3.8702,3.0441240310610898,3.9805,3.005973629467696,3.869,2.935595466815838,9.7186,2.87331757571086,9.5755,2.8061175397671625,9.6365
