dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
ChilledWaterPredictor,obliquert,121958,331.5665,success,2898.495303372616,3.9116,2908.195448591876,0.8977,3052.469689258591,276.2732,2938.4362664539367,48.5999
ChilledWaterPredictor,obliquert,671155,341.7352,success,3126.7371541655907,3.7501,3022.4102216232295,0.8978,3153.052017788262,287.7785,3045.517610098013,48.8438
ChilledWaterPredictor,obliquert,131932,330.5577,success,3038.8468167831466,4.0121,2932.0891684862304,0.9711,3032.620842394726,277.3412,2975.2792831049646,47.7715
ChilledWaterPredictor,obliquert,365838,278.9028,success,2912.636942910662,4.0155,2904.0225332100276,0.9805,3012.9772061439326,230.9271,2966.502523965412,42.5244
ChilledWaterPredictor,obliquert,259178,346.812,success,3060.9406106173974,4.1169,2965.8271518972538,0.9833,3139.5012607369536,291.6383,3005.42530013135,49.6
CopperConcentration,obliquert,121958,11146.753,success,1.8588728410768123,42.5865,1.7850606879220565,8.3624,1.9722886297679032,9857.0347,1.7892846425967208,1234.413
CopperConcentration,obliquert,671155,11287.2102,success,1.8231682839348213,44.7833,1.7098152449161852,8.6413,1.863741718259248,9708.1665,1.7409948383396,1522.9913
CopperConcentration,obliquert,131932,11457.9996,success,1.7169445912139019,44.9946,1.7315880689355818,8.8879,1.8101613024637446,9842.455,1.700819578908243,1047.1192
CopperConcentration,obliquert,365838,10615.6958,success,1.7127438916894395,44.6016,1.6831145782038757,8.5843,1.8685036165868005,9280.7336,1.6921654206595858,1279.1981
CopperConcentration,obliquert,259178,11933.22,success,1.8102517750248215,43.553,1.6882739258048496,8.7228,1.8197632073200027,10021.3318,1.6805786780019336,1404.022
Covid19Andalusia,obliquert,121958,2.7297,success,0.014469044660183804,0.2748,0.015879892175776816,0.1754,0.013956341928759811,1.2363,0.014268065757028109,0.4322
Covid19Andalusia,obliquert,671155,2.5236,success,0.0156459483526641,0.2916,0.014686816482106157,0.1933,0.015519244188567293,1.3261,0.014462472401494153,0.4665
Covid19Andalusia,obliquert,131932,2.4448,success,0.013633645225061532,0.3048,0.013939707075468225,0.196,0.014514902322575116,1.3262,0.014496313459863812,0.4755
Covid19Andalusia,obliquert,365838,2.6875,success,0.012978467269698882,0.2754,0.013829388411677815,0.1757,0.012898563995425744,1.2122,0.01311279612593935,0.4169
Covid19Andalusia,obliquert,259178,2.3501,success,0.014222570969278958,0.2989,0.01346527595386262,0.1933,0.013728079327785006,1.3027,0.013859195572545252,0.4609
Covid3Month,obliquert,121958,1.7952,success,0.040149881123003134,0.2551,0.039283935894282696,0.1755,0.04062897987337038,0.8855,0.03838072407219095,0.3179
Covid3Month,obliquert,671155,1.7876,success,0.03833469772256581,0.2543,0.03955848943780125,0.179,0.0392693555509406,0.9025,0.03950307873295209,0.3299
Covid3Month,obliquert,131932,1.6809,success,0.04132921709489707,0.2459,0.039899537839114506,0.1763,0.04352500544553503,0.8798,0.04080414162870086,0.297
Covid3Month,obliquert,365838,1.5616,success,0.0409240752757472,0.23,0.03926788600172363,0.1579,0.040872229289852804,0.8088,0.03958478359755677,0.2903
Covid3Month,obliquert,259178,1.8169,success,0.03914674320771331,0.2552,0.03839621315286443,0.1867,0.03988610427509037,0.8843,0.03780515232680935,0.328
DailyOilGasPrices,obliquert,121958,1.5898,success,1.6523691924606638,0.2483,1.8911970934467714,0.1929,1.7690314937301073,0.7183,1.9335615563392607,0.3162
DailyOilGasPrices,obliquert,671155,1.5549,success,1.6149402335013159,0.24,1.8338034262439897,0.1792,1.7366170341273317,0.7122,1.821119023618019,0.309
DailyOilGasPrices,obliquert,131932,1.4002,success,1.8322890528435434,0.2134,1.9663922914317136,0.1562,1.988677992404826,0.6491,1.9700127752887848,0.2801
DailyOilGasPrices,obliquert,365838,1.3798,success,1.7447158352809164,0.211,2.005501167603541,0.1552,1.9027656577441003,0.6435,2.0049635964507853,0.2705
DailyOilGasPrices,obliquert,259178,1.3578,success,1.7063272483229166,0.2036,1.9397925251129469,0.1529,1.789061636279846,0.6342,1.9724393958967006,0.2704
DhakaHourlyAirQuality,obliquert,121958,5.7993,success,4.506097670702436,0.6563,5.486443021701839,0.4025,3.873190503803434,2.3088,4.206595078466826,1.2327
DhakaHourlyAirQuality,obliquert,671155,5.5831,success,4.664316402239518,0.6326,5.222721220247272,0.3923,3.9113776710612496,2.2378,4.21354952164762,1.1694
DhakaHourlyAirQuality,obliquert,131932,5.0985,success,4.467484421632009,0.5767,5.207841377572738,0.3572,3.9603622449618974,2.0205,4.207570769601383,1.0765
DhakaHourlyAirQuality,obliquert,365838,5.7229,success,4.493519078332418,0.6408,5.1360996925801885,0.4037,3.836987814839267,2.272,4.186070269082481,1.2263
DhakaHourlyAirQuality,obliquert,259178,4.9701,success,4.676636312450839,0.5748,5.502189860146006,0.3439,3.7432337278162926,1.9814,4.123159879245313,1.0393
ElectricityPredictor,obliquert,121958,612.8782,success,478.03791011140237,6.8143,430.7627425423713,1.6042,477.91702261418476,510.6512,439.80883039142236,92.9669
ElectricityPredictor,obliquert,671155,634.6124,success,478.03998133065534,6.9123,443.3859074006472,1.6362,485.864627415855,528.1884,445.69954590469797,97.0416
ElectricityPredictor,obliquert,131932,618.5832,success,486.5806428568648,6.9074,450.58333103804284,1.623,479.46909214233386,516.5996,458.78173510474045,92.6066
ElectricityPredictor,obliquert,365838,522.6414,success,484.1353041128182,7.2809,445.1167902063041,1.7396,486.4963886447178,432.7726,451.5159979354303,80.0201
ElectricityPredictor,obliquert,259178,512.0271,success,476.44605518770396,6.7159,443.3585253905626,1.5877,470.7125017280641,425.3641,446.8992335053793,77.4546
EthereumSentiment,obliquert,121958,2.0183,success,0.2406129611819916,0.3048,0.23005101979969023,0.2033,0.23430462659749404,0.9736,0.23306992227035228,0.436
EthereumSentiment,obliquert,671155,2.023,success,0.2270811935835212,0.2986,0.2263978680011327,0.203,0.23786635190957292,0.9775,0.23002600664076603,0.4451
EthereumSentiment,obliquert,131932,2.004,success,0.23640850439795535,0.2978,0.22939254595753045,0.2026,0.2486420362251385,0.9765,0.2367280519957539,0.4388
EthereumSentiment,obliquert,365838,1.9097,success,0.2443843181453665,0.2617,0.23491029855510012,0.1867,0.23644238940609918,0.8627,0.23437559537267416,0.3927
EthereumSentiment,obliquert,259178,1.8066,success,0.23749789889551332,0.2679,0.2339379116635536,0.1743,0.23815765009618375,0.8782,0.23573875060629546,0.3993
FloodModeling1,obliquert,121958,34.6169,success,0.019235977868928014,1.5828,0.020287310963449826,0.5306,0.01937408678083743,24.9175,0.01938494372018677,6.776
FloodModeling1,obliquert,671155,35.4479,success,0.019690462446067508,1.6002,0.020433788203169618,0.5469,0.01977484135818317,25.5224,0.01973883589762738,6.9617
FloodModeling1,obliquert,131932,34.6889,success,0.02007695563994139,1.5874,0.020595155911725335,0.5386,0.020148639502187853,24.8766,0.02019786791047452,6.8814
FloodModeling1,obliquert,365838,50.2405,success,0.019326869891598555,1.5906,0.020801885488075992,0.5445,0.019101428607033247,26.0982,0.019731582541242267,7.6854
FloodModeling1,obliquert,259178,51.1152,success,0.01991088957981815,1.753,0.02056062044974208,0.6129,0.018795231129497523,26.9639,0.019480929468877025,7.5836
FloodModeling2,obliquert,121958,12.3991,success,0.008877097762714253,0.5921,0.0091535819683003,0.4409,0.009759905645152165,7.1778,0.009734146064474297,3.8901
FloodModeling2,obliquert,671155,12.8177,success,0.007465715317445551,0.5977,0.008827060431773037,0.4379,0.009372424762174368,7.5152,0.009597101285725298,3.9718
FloodModeling2,obliquert,131932,12.1256,success,0.008904122552868774,0.5882,0.009021544938851092,0.4366,0.009981132794129237,7.0203,0.009658985475114732,3.7705
FloodModeling2,obliquert,365838,10.6425,success,0.008987993019428438,0.5088,0.00897005386579648,0.366,0.009298756822151363,6.3059,0.009378035908314509,3.277
FloodModeling2,obliquert,259178,12.5072,success,0.007611475204494458,0.5897,0.008706700426980723,0.4419,0.009599967699846418,7.2143,0.009569169106503584,3.9612
