dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
houses,obliquert,365838,37.417,success,0.26228912820533073,5.0919,0.2707154920803177,3.105,0.24521997148683836,13.3163,0.24591599985610615,8.7134
houses,obliquert,259178,37.9302,success,0.2633026947836107,5.2919,0.26990054837097865,3.1941,0.2446688232655989,13.4962,0.24728964577073895,8.7394
house_16H,obliquert,121958,73.7083,success,0.5869521221360555,10.2492,0.5965654577262086,6.4296,0.5800634693931769,31.5318,0.5804571176076299,14.5113
house_16H,obliquert,671155,73.09,success,0.5843515362254399,9.9253,0.5980108090706288,6.3527,0.5713899117658652,31.6086,0.5770124580313145,14.2261
house_16H,obliquert,131932,70.0001,success,0.5881549412481473,10.4923,0.5966903613189175,6.4864,0.5742079177931712,27.8225,0.5756917214308889,14.035
house_16H,obliquert,365838,70.6318,success,0.5912491129211747,10.104,0.5989272982326872,6.4864,0.5711143442689696,29.1164,0.5818149725498934,13.9112
house_16H,obliquert,259178,68.5397,success,0.5902309071728039,9.9987,0.5947013096345904,6.361,0.5837048398283834,30.1643,0.5819861215791223,13.9788
diamonds,obliquert,121958,52.0321,success,0.24352732560682522,11.7273,0.23666777570454808,6.5575,0.24426025281866823,21.9075,0.23721645846882575,9.3517
diamonds,obliquert,671155,48.6145,success,0.24302537426227136,11.5194,0.23637509272029922,6.5173,0.24341092372663953,18.5292,0.2370281206846601,9.5974
diamonds,obliquert,131932,52.4894,success,0.24257506842540755,11.6514,0.23619933429443604,6.5424,0.2429894652789,22.392,0.2366670495070067,9.4485
diamonds,obliquert,365838,54.1833,success,0.24346916331165705,11.6401,0.2367502143474773,6.2928,0.2440631766884587,23.5161,0.23718675152253235,10.2891
diamonds,obliquert,259178,54.7793,success,0.24306209560801798,11.5345,0.23661765523271697,6.4752,0.24368715471247523,23.2608,0.23704762558967074,11.0604
Brazilian_houses,obliquert,121958,13.3495,success,0.10538304256637743,1.9651,0.11583131213027031,1.1362,0.08394110641953735,4.77,0.09356050879770435,2.7663
Brazilian_houses,obliquert,671155,13.158,success,0.09061362388494777,1.9424,0.11709510648337769,1.1237,0.06467243725316354,4.6275,0.08757952216523059,2.7268
Brazilian_houses,obliquert,131932,13.7499,success,0.09389134717443536,1.9688,0.12158006338394238,1.2383,0.06930618178182041,5.0833,0.09104193519181168,2.7504
Brazilian_houses,obliquert,365838,13.1475,success,0.09532000732412212,1.964,0.11897941846565363,1.1103,0.06929757953878761,4.6676,0.08945410302530356,2.698
Brazilian_houses,obliquert,259178,13.455,success,0.08710543486232229,1.978,0.11539309463081567,1.1447,0.060797507953089226,4.785,0.08827273081641503,2.7323
Bike_Sharing_Demand,obliquert,121958,16.872,success,105.12396621132575,3.1537,106.3965961515258,1.8761,102.26622388947847,6.1574,101.16774181481951,3.5546
Bike_Sharing_Demand,obliquert,671155,16.8693,success,105.4351680661792,3.1754,106.97764007122957,1.6939,103.23293767969447,6.1464,102.00308158578362,3.7336
Bike_Sharing_Demand,obliquert,131932,16.8288,success,105.4799175189209,3.1629,106.2697227477427,1.696,102.8319608460559,6.1825,101.58674323037144,3.7134
Bike_Sharing_Demand,obliquert,365838,16.7261,success,106.35336624426229,3.2062,107.0453650761316,1.7099,103.39849140816982,6.1212,102.43679445548266,3.5771
Bike_Sharing_Demand,obliquert,259178,16.9122,success,104.9249060442591,3.1645,106.14275832849653,1.7242,102.4908224204447,6.1317,101.28833998343866,3.8351
house_sales,obliquert,121958,47.4072,success,0.203410571428866,6.1615,0.20631555190952397,3.4221,0.1890866365965285,22.1536,0.18902060051920389,10.6973
house_sales,obliquert,671155,47.0051,success,0.2041408701145457,6.2608,0.20763703594101912,3.5088,0.1893362018746032,21.9788,0.18908334845534883,10.4284
house_sales,obliquert,131932,49.2253,success,0.2029036100684877,6.3284,0.2082895567799555,3.4148,0.189117914651859,21.5908,0.18921045091290759,10.4739
house_sales,obliquert,365838,48.4031,success,0.20335947469006824,6.1812,0.2078311261274026,3.3942,0.18883558866152442,21.7085,0.18879757279824136,12.3004
house_sales,obliquert,259178,46.5465,success,0.20360235121140802,6.1453,0.20638703178690845,3.4714,0.18883167817330357,21.7889,0.18882845468618806,10.3146
sulfur,obliquert,121958,17.7285,success,0.020300511704792346,2.7442,0.02326472710854389,1.8224,0.02006208006720898,5.7545,0.02190737483855354,4.0151
sulfur,obliquert,671155,15.8362,success,0.018952115739313366,2.7824,0.022946285579737196,1.8221,0.01932393620476498,5.7738,0.0221476041066485,4.0597
sulfur,obliquert,131932,17.6224,success,0.019837547807542353,2.7699,0.022690960974887764,1.8726,0.01877826947709565,5.9496,0.021602209427140612,4.0303
sulfur,obliquert,365838,17.4604,success,0.01978034969652681,2.8788,0.023090461853041238,1.8114,0.018577154317678812,5.7833,0.021266379313709127,3.9604
sulfur,obliquert,259178,17.4622,success,0.01995084157072892,2.7254,0.022650659987989544,1.8346,0.01851745147992656,5.8603,0.020992492765152703,4.0145
medical_charges,obliquert,121958,117.8959,success,0.08647244943739028,24.8137,0.08501191909637353,11.84,0.08585107275371473,39.5511,0.0829842518585146,27.4342
