classification_name,tablename,feature_type,model_type,metric_type,dataset_rows,dataset_columns,avg_score,std_score,avg_time_taken
AEON-TSER,BeijingIntAirportPM25Quality,Continuous,et,RMSE,1571,144,0.9927172313973127,0.007133147722747969,5.17936
AEON-TSER,BeijingIntAirportPM25Quality,Continuous,rf,RMSE,1571,144,0.9648066492841322,0.007438940253093822,9.300920000000001
AEON-TSER,BeijingIntAirportPM25Quality,Continuous,rotf,RMSE,1571,144,0.9406758243115286,0.009060554213139302,20.398500000000002
AEON-TSER,BenzeneConcentration,Continuous,et,RMSE,8512,1920,0.49757678410346073,0.023447091674002038,280.80366
AEON-TSER,BenzeneConcentration,Continuous,rf,RMSE,8512,1920,0.4350279477229263,0.005574069994137049,842.5685799999999
AEON-TSER,BenzeneConcentration,Continuous,rotf,RMSE,8512,1920,0.9541671517823065,0.029845154275621434,2547.40542
AEON-TSER,BinanceCoinSentiment,Continuous,et,RMSE,263,48,0.9714726583955742,0.005669241549945075,0.5425800000000001
AEON-TSER,BinanceCoinSentiment,Continuous,rf,RMSE,263,48,0.9919773045147482,0.005813974901387587,1.2363199999999999
AEON-TSER,BinanceCoinSentiment,Continuous,rotf,RMSE,263,48,0.9726884070691227,0.018390508890535177,2.0919600000000003
AEON-TSER,BitcoinSentiment,Continuous,et,RMSE,332,48,0.9598386848715801,0.0068917197623038235,0.64068
AEON-TSER,BitcoinSentiment,Continuous,rf,RMSE,332,48,0.9915753857721423,0.007069330288867533,1.4660600000000001
AEON-TSER,BitcoinSentiment,Continuous,rotf,RMSE,332,48,0.9604965908508347,0.010375659172863316,2.2703800000000003
AEON-TSER,BoronConcentration,Continuous,et,RMSE,626,2542,0.6006559314856775,0.045718406962124696,40.70334
AEON-TSER,BoronConcentration,Continuous,rf,RMSE,626,2542,0.9148340531321828,0.07885552484514649,166.19018
AEON-TSER,BoronConcentration,Continuous,rotf,RMSE,626,1271,0.32511273405956226,0.018216043568464377,139.84516
AEON-TSER,CalciumConcentration,Continuous,et,RMSE,635,2307,0.9743307811955566,0.031130363976971897,44.41748
AEON-TSER,CalciumConcentration,Continuous,rf,RMSE,635,2307,0.9010009831646727,0.019366878328749886,152.321
AEON-TSER,CalciumConcentration,Continuous,rotf,RMSE,635,1153,0.5614353586829475,0.01749197533006129,116.17178000000001
AEON-TSER,CardanoSentiment,Continuous,et,RMSE,107,48,0.9700372058208396,0.01706896012128178,0.2968
AEON-TSER,CardanoSentiment,Continuous,rf,RMSE,107,48,0.9563348964181142,0.02340989860914669,0.5165
AEON-TSER,CardanoSentiment,Continuous,rotf,RMSE,107,48,0.9635043291472855,0.024103703359417722,1.34716
AEON-TSER,ChilledWaterPredictor,Continuous,et,RMSE,459,672,0.6742294928330164,0.0326041441662822,8.53992
AEON-TSER,ChilledWaterPredictor,Continuous,rf,RMSE,459,672,0.8938480604645076,0.07216691197232769,21.40764
AEON-TSER,ChilledWaterPredictor,Continuous,rotf,RMSE,459,672,0.5927059035323773,0.021748157255524314,48.30224
AEON-TSER,CopperConcentration,Continuous,et,RMSE,629,2542,0.9914387661350753,0.006451604182529376,43.74886
AEON-TSER,CopperConcentration,Continuous,rf,RMSE,629,2542,0.9610694760027473,0.01157874063034923,132.73962
AEON-TSER,CopperConcentration,Continuous,rotf,RMSE,629,1271,0.8944104740956341,0.011849403875833229,100.48017999999999
AEON-TSER,Covid19Andalusia,Continuous,et,RMSE,204,91,0.8335769980506823,0.012506004085854817,0.64916
AEON-TSER,Covid19Andalusia,Continuous,rf,RMSE,204,91,0.9755238791423002,0.027701373851196823,1.3699400000000002
AEON-TSER,Covid19Andalusia,Continuous,rotf,RMSE,204,91,0.95625,0.036460722573859315,3.0765000000000002
AEON-TSER,Covid3Month,Continuous,et,RMSE,201,84,0.9840279466713835,0.012060553527134458,0.36436
AEON-TSER,Covid3Month,Continuous,rf,RMSE,201,84,0.9297972539742201,0.017364632084296453,0.49940999999999997
AEON-TSER,Covid3Month,Continuous,rotf,RMSE,201,84,0.9688518428441929,0.010504977848875179,2.2454
AEON-TSER,DailyOilGasPrices,Continuous,et,RMSE,191,60,0.8581776067691766,0.023882337982997798,0.46816
AEON-TSER,DailyOilGasPrices,Continuous,rf,RMSE,191,60,0.9062227786761321,0.027201986285899937,0.94018
AEON-TSER,DailyOilGasPrices,Continuous,rotf,RMSE,191,60,0.9738029377061197,0.032921891692953155,1.9815
AEON-TSER,FloodModeling1,Continuous,et,RMSE,673,266,0.8520642489647383,0.008056496371916059,6.294420000000001
AEON-TSER,FloodModeling1,Continuous,rf,RMSE,673,266,0.994804868866859,0.00535166162372103,11.41174
AEON-TSER,FloodModeling1,Continuous,rotf,RMSE,673,266,0.9282595055841385,0.011325056685801162,27.038279999999997
AEON-TSER,FloodModeling2,Continuous,et,RMSE,667,266,0.9988930087592024,0.0013286303291078303,3.14544
AEON-TSER,FloodModeling2,Continuous,rf,RMSE,667,266,0.7590198291149444,0.01636486334423521,12.25842
AEON-TSER,FloodModeling2,Continuous,rotf,RMSE,667,266,0.7134934709011768,0.07088031946885455,30.699
AEON-TSER,FloodModeling3,Continuous,et,RMSE,613,266,0.8985134084725999,0.003391317355815607,4.81352
AEON-TSER,FloodModeling3,Continuous,rf,RMSE,613,266,0.9924407306645937,0.00545342426301412,10.09972
AEON-TSER,FloodModeling3,Continuous,rotf,RMSE,613,266,0.9415176836377768,0.004925614817496215,22.96952
AEON-TSER,HouseholdPowerConsumption1,Continuous,et,RMSE,1431,7200,0.9550393879186382,0.004887485280881678,193.90302000000003
AEON-TSER,HouseholdPowerConsumption1,Continuous,rf,RMSE,1431,7200,0.9920225550308363,0.006191720621194595,314.72942
AEON-TSER,HouseholdPowerConsumption1,Continuous,rotf,RMSE,1431,1028,0.8632920553446721,0.007080034755763088,134.87028
AEON-TSER,HouseholdPowerConsumption2,Continuous,et,RMSE,1431,7200,0.9816872044160132,0.0031502267534188346,211.62456000000003
AEON-TSER,HouseholdPowerConsumption2,Continuous,rf,RMSE,1431,7200,0.9944368672364401,0.004177251470121808,338.71828
